Average Reservoir Pressure (psi),Cumulative Gas (CO2) Injection (SCF),Cumulative Gas (CO2) Production (SCF),Gas Injection Rate (SCF/day),Water Injection Rate (bbl/day),Cumulative Water Injection (bbl),Cumulative Water Production (bbl),Average Temperature (F),Gas-Oil Ratio SC (SCF/bbl),Water Cut (%),Cumulative Oil Production (bbl),Oil Recovery Factor (%),Cumulative CO2 Stored (SCF)
3501.303955,0,3255395.5,0,0,0,583687.375,186,255.0828247,0.326518297,2335499.5,4.068562031,0
3501.302246,0,3269589.5,0,0,0,588835.75,186,255.0924988,0.328033984,2346046,4.08693409,0
3501.322998,0,3285877.25,0,0,0,593627.6875,186,254.9945679,0.316476822,2356395.5,4.104963303,0
3501.321777,0,3300926,0,0,0,598182.9375,186,254.9774323,0.314535916,2366322.5,4.122257233,0
3501.304688,0,3317714.25,0,0,0,603557.0625,186,255.0307312,0.321278125,2377676,4.142035008,0
3501.302734,0,3332485.25,0,0,0,608557.3125,186,255.0427246,0.32297194,2388157.5,4.16029501,0
3501.290527,0,3349854.5,0,0,0,614223.75,186,255.072113,0.326817662,2399829.25,4.180627823,0
3501.288086,0,3366137.25,0,0,0,619230.5625,186,255.0780487,0.327841103,2410094.5,4.19851017,0
3501.278565,0,3378166.25,0,0,0,625186.5625,186,255.0985718,0.330675244,2422150.25,4.219511986,0
3501.276856,0,3388853.75,0,0,0,630789.5625,186,255.1020813,0.331498116,2433449.25,4.239195347,0
3501.329834,0,3396327.25,0,0,0,634416.8125,186,254.8414307,0.299479455,2441934,4.253975868,0
3501.329346,0,3403708.25,0,0,0,637536.1875,186,254.7845001,0.29194501,2449499.25,4.26715517,0
3501.379395,0,3405200.75,0,0,0,639210.875,186,254.3946381,0.235904723,2454923.75,4.276605129,0
3501.379395,0,3406660.25,0,0,0,640666.875,186,254.2487946,0.212093204,2460332.5,4.286027432,0
3501.490723,0,3422884.75,0,0,0,640860.8125,186,253.8809967,0.147576556,2461453,4.287979126,0
3501.507324,0,3434554,0,0,0,640986.0625,186,253.6516419,0.101131894,2462566,4.289918423,0
3501.252441,0,3451431.25,0,0,0,644775.3125,186,254.456665,0.244208291,2474293.25,4.310347557,0
3501.261475,0,3468031.75,0,0,0,648220.6875,186,254.8243256,0.294879407,2482532,4.324699879,0
3501.258057,0,3480126.75,0,0,0,653832.5625,186,255.0535736,0.323302031,2494278,4.345162392,0
3501.25708,0,3491440.25,0,0,0,659463.5625,186,255.0933838,0.328206211,2505804,4.365241051,0
3501.308106,0,3503081,0,0,0,663116.4375,186,254.8654938,0.300132811,2514322,4.380079746,0
3501.308106,0,3514980,0,0,0,666435.5,186,254.8139191,0.293389827,2522315.75,4.394005299,0
3501.309326,0,3524591.25,0,0,0,669781.3125,186,254.7791443,0.288709581,2530558.75,4.40836525,0
3501.307617,0,3533021.5,0,0,0,673190.0625,186,254.774292,0.287968814,2538987,4.423047543,0
3501.333252,0,3534084.5,0,0,0,675628.0625,186,254.5838013,0.261341453,2545878,4.435051918,0
3501.332764,0,3535152,0,0,0,677671.9375,186,254.5212708,0.251931638,2551946.75,4.445624352,0
3501.479492,0,3536983.75,0,0,0,677837.5625,186,254.0335236,0.173314393,2552737,4.44700098,0
3501.50415,0,3538703.5,0,0,0,677941.875,186,253.7260895,0.114124611,2553546.75,4.448411465,0
3501.496094,0,3545938,0,0,0,678061.6875,186,253.5623932,0.078515626,2554952.25,4.450860024,0
3501.495361,0,3552259.25,0,0,0,678147,186,253.4847717,0.060460977,2556278.75,4.453170776,0
3501.370117,0,3569795.75,0,0,0,678565.5,186,253.5321503,0.069975756,2561840.5,4.462859631,0
3501.367676,0,3585283.5,0,0,0,678992.1875,186,253.5868683,0.080995306,2566681.75,4.471293449,0
3501.251465,0,3609628,0,0,0,682822.25,186,254.4064636,0.231463343,2579399,4.493447781,0
3501.250244,0,3631216,0,0,0,687456.4375,186,254.8840179,0.298459142,2590291.75,4.512423039,0
3501.003174,0,3662779.5,0,0,0,689700.6875,186,253.9169006,0.109594069,2608525.75,4.544187546,0
3501.000732,0,3693399,0,0,0,691562.25,186,253.885376,0.103048109,2624729.25,4.572414875,0
3500.902344,0,3721036,0,0,0,692930.1875,186,253.7061005,0.05396596,2648709,4.614189148,0
3500.895264,0,3747074.5,0,0,0,694149,186,253.6880188,0.049726624,2672000.25,4.654763699,0
3500.994629,0,3765199.75,0,0,0,694149,186,253.5508881,0,2693221,4.691730976,0
3501.015137,0,3778863.25,0,0,0,694149,186,253.5508575,0,2713214.25,4.726560593,0
3501.113037,0,3792803.5,0,0,0,694258.9375,186,253.5482025,0.007836872,2727134,4.75080967,0
3501.114258,0,3805531.5,0,0,0,694325.6875,186,253.542099,0.00631839,2737631.5,4.769096851,0
3501.160889,0,3812992.25,0,0,0,695885,186,253.844223,0.129394338,2748123.25,4.787373543,0
3501.224365,0,3819926.25,0,0,0,698557.375,186,254.3895874,0.224346161,2757362.75,4.803469181,0
3501.243897,0,3868252.75,0,0,0,698557.375,186,253.5506134,0,2763091,4.813448429,0
